age,drugs,ethnicity,height,income,orientation,sex,status
42,never,white,165.1,-1,straight,f,single
45,never,asian,162.56,-1,straight,f,single
21,never,white,182.88,500000,straight,m,single
28,never,other,162.56,-1,straight,f,single
29,never,white,167.64000000000001,-1,straight,m,single
36,NA,other,172.72,-1,straight,m,single
28,NA,white,180.34,-1,straight,m,single
24,NA,other,187.96,-1,straight,m,single
23,never,other,167.64000000000001,20000,straight,f,single
36,sometimes,white,177.8,-1,straight,m,coupled
35,never,white,182.88,-1,straight,m,single
18,never,other,172.72,-1,straight,m,single
55,never,white,170.18,-1,straight,m,single
21,never,other,165.1,-1,straight,f,single
28,NA,white,167.64000000000001,-1,straight,f,coupled
24,never,white,180.34,-1,straight,m,single
50,never,white,190.5,-1,straight,m,single
23,sometimes,white,167.64000000000001,-1,straight,m,single
21,often,other,177.8,1000000,straight,m,single
27,never,white,157.48,-1,bisexual,f,single
27,NA,asian,172.72,150000,straight,m,single
43,never,white,185.42000000000002,-1,straight,m,single
27,NA,asian,172.72,150000,straight,m,single
26,never,white,180.34,-1,straight,m,single
26,NA,other,167.64000000000001,-1,straight,m,single
30,sometimes,white,175.26,-1,straight,m,single
32,never,white,172.72,-1,straight,f,coupled
43,NA,white,172.72,-1,bisexual,f,single
39,never,white,172.72,-1,straight,f,single
22,never,white,172.72,-1,straight,m,single
33,never,white,170.18,-1,straight,f,single
24,NA,white,190.5,-1,straight,m,single
50,never,white,185.42000000000002,80000,straight,m,single
32,never,asian,170.18,-1,straight,m,coupled
23,never,white,185.42000000000002,-1,straight,m,single
32,never,other,157.48,-1,straight,f,single
59,never,white,185.42000000000002,80000,straight,m,single
36,sometimes,white,185.42000000000002,-1,straight,m,single
29,NA,other,187.96,-1,straight,m,single
39,NA,white,160.02,-1,straight,f,single
24,never,other,170.18,60000,straight,m,single
28,often,asian,177.8,-1,straight,m,single
50,never,asian,167.64000000000001,80000,straight,m,single
32,never,white,162.56,-1,straight,f,single
41,NA,white,170.18,-1,straight,f,single
50,NA,other,160.02,-1,straight,f,single
44,NA,white,172.72,-1,straight,m,single
48,NA,white,172.72,-1,straight,m,single
24,sometimes,other,190.5,-1,bisexual,m,single
26,never,other,185.42000000000002,-1,straight,m,single
29,never,white,154.94,-1,gay,f,single
40,never,other,157.48,-1,straight,f,single
29,never,white,172.72,-1,straight,f,single
54,never,white,175.26,-1,straight,f,single
20,never,white,160.02,-1,straight,f,single
51,NA,asian,157.48,-1,straight,f,single
33,never,other,167.64000000000001,-1,straight,f,single
28,NA,asian,167.64000000000001,-1,straight,m,single
37,NA,other,167.64000000000001,-1,straight,f,single
20,never,white,182.88,-1,straight,m,single
30,NA,white,187.96,-1,straight,m,single
36,NA,white,182.88,-1,straight,m,single
26,never,other,160.02,20000,gay,f,single
26,never,white,172.72,70000,straight,f,single
33,never,other,167.64000000000001,-1,straight,f,single
20,never,white,167.64000000000001,-1,straight,f,coupled
31,NA,other,177.8,-1,straight,m,single
62,never,white,185.42000000000002,-1,straight,m,single
33,never,white,160.02,-1,straight,f,single
22,never,latin,175.26,-1,straight,m,single
46,never,other,167.64000000000001,-1,gay,m,single
27,never,white,172.72,-1,straight,m,single
29,never,white,182.88,250000,straight,m,single
36,NA,other,172.72,-1,straight,f,single
25,sometimes,white,180.34,-1,straight,m,single
32,never,white,175.26,-1,gay,m,single
21,never,latin,167.64000000000001,20000,straight,f,single
27,never,white,172.72,-1,straight,f,single
38,NA,white,177.8,-1,straight,m,single
27,never,white,187.96,30000,straight,m,single
44,never,other,160.02,-1,straight,f,single
52,never,white,167.64000000000001,-1,straight,f,single
33,never,white,152.4,-1,straight,f,single
28,never,asian,170.18,150000,straight,f,single
37,never,white,200.66,50000,straight,m,single
28,never,other,154.94,20000,straight,f,single
32,never,latin,175.26,-1,straight,m,single
29,sometimes,other,175.26,-1,gay,f,single
31,NA,white,170.18,-1,straight,m,single
42,never,asian,180.34,150000,straight,m,single
32,never,white,160.02,-1,straight,f,single
28,sometimes,latin,170.18,-1,straight,m,single
38,NA,white,160.02,-1,straight,f,single
27,never,asian,162.56,-1,straight,f,single
19,never,asian,157.48,-1,straight,f,single
27,never,asian,165.1,80000,bisexual,f,single
28,never,asian,170.18,-1,straight,m,single
29,never,white,167.64000000000001,-1,straight,f,coupled
31,never,white,160.02,-1,straight,f,single
27,never,other,160.02,-1,straight,f,single
43,never,white,175.26,-1,straight,f,single
43,NA,white,180.34,-1,straight,m,single
24,never,other,175.26,-1,gay,f,single
34,sometimes,white,170.18,-1,straight,f,single
30,never,white,167.64000000000001,-1,straight,f,coupled
59,never,white,157.48,-1,straight,f,single
33,never,white,182.88,-1,straight,m,single
41,never,asian,175.26,-1,straight,m,single
58,NA,other,175.26,-1,straight,m,single
24,never,white,149.86,-1,straight,f,single
39,never,other,187.96,-1,straight,m,single
33,sometimes,white,177.8,1000000,straight,m,single
43,never,other,165.1,-1,straight,f,single
29,sometimes,other,177.8,60000,straight,m,single
28,never,white,167.64000000000001,-1,straight,f,single
21,never,white,177.8,-1,straight,m,single
35,never,asian,162.56,-1,straight,f,single
32,never,white,175.26,-1,straight,m,single
42,never,white,160.02,-1,straight,f,single
23,sometimes,white,157.48,20000,straight,f,single
30,never,white,172.72,-1,straight,f,single
27,never,other,180.34,-1,gay,m,single
41,never,white,180.34,-1,straight,f,single
33,NA,white,175.26,-1,straight,m,single
58,never,white,177.8,-1,straight,f,single
26,NA,other,182.88,-1,bisexual,m,single
50,never,latin,167.64000000000001,-1,straight,f,single
45,NA,white,165.1,-1,gay,f,single
66,never,white,165.1,40000,straight,f,single
33,NA,other,172.72,80000,straight,m,coupled
32,NA,white,172.72,-1,straight,m,single
53,sometimes,white,157.48,100000,bisexual,f,single
28,never,other,182.88,-1,straight,m,single
22,never,white,160.02,-1,straight,f,single
19,sometimes,white,185.42000000000002,-1,straight,m,single
35,never,asian,170.18,30000,straight,m,single
51,never,other,165.1,-1,straight,f,single
30,never,asian,175.26,60000,straight,m,single
29,never,other,203.2,80000,straight,m,single
32,sometimes,white,154.94,100000,straight,f,coupled
45,never,black,160.02,-1,straight,f,single
28,sometimes,white,185.42000000000002,30000,straight,m,single
36,never,white,160.02,-1,straight,f,single
40,never,latin,180.34,-1,straight,m,single
34,never,asian,157.48,60000,straight,f,single
24,NA,other,172.72,-1,straight,f,single
39,never,white,182.88,50000,straight,m,single
33,never,other,165.1,-1,straight,f,single
26,sometimes,other,170.18,-1,straight,f,single
36,sometimes,latin,170.18,80000,straight,m,single
46,never,white,172.72,-1,straight,m,single
21,never,black,170.18,-1,straight,m,single
63,never,white,170.18,-1,straight,f,single
30,never,other,157.48,-1,straight,f,single
50,never,other,160.02,-1,straight,f,single
50,never,white,162.56,70000,straight,f,single
34,never,latin,182.88,-1,straight,m,single
40,never,latin,157.48,-1,straight,f,single
46,never,white,167.64000000000001,-1,straight,f,single
41,never,other,170.18,-1,straight,m,single
29,never,other,157.48,-1,straight,f,single
53,never,white,175.26,-1,straight,f,single
39,never,white,175.26,80000,straight,m,single
39,never,white,162.56,-1,straight,f,single
24,never,other,157.48,-1,straight,f,single
26,NA,asian,177.8,-1,straight,m,single
25,sometimes,other,162.56,-1,bisexual,f,single
59,never,white,160.02,-1,straight,f,single
28,never,white,170.18,-1,straight,f,single
29,sometimes,white,172.72,-1,straight,m,single
35,NA,asian,170.18,-1,straight,m,single
25,NA,other,165.1,-1,straight,f,single
36,NA,white,170.18,-1,straight,f,single
42,sometimes,white,162.56,80000,straight,f,single
25,never,other,180.34,-1,straight,f,single
27,never,black,203.2,-1,straight,m,single
45,never,white,152.4,-1,straight,f,single
37,NA,white,180.34,-1,straight,m,single
47,never,white,175.26,50000,straight,m,single
24,never,black,170.18,-1,straight,f,single
53,never,white,162.56,-1,straight,f,single
26,never,other,157.48,-1,gay,f,single
49,sometimes,white,160.02,-1,straight,f,single
24,never,white,154.94,-1,straight,f,single
19,sometimes,latin,175.26,-1,straight,m,single
26,NA,white,193.04,20000,straight,m,single
30,NA,other,177.8,-1,straight,m,single
26,sometimes,white,182.88,-1,straight,m,single
36,never,asian,160.02,-1,straight,f,single
24,sometimes,other,175.26,-1,bisexual,m,single
47,never,white,182.88,-1,straight,m,single
51,never,white,177.8,-1,straight,m,single
28,never,white,185.42000000000002,80000,straight,m,single
48,never,latin,157.48,-1,straight,f,single
37,NA,latin,157.48,-1,straight,f,single
47,never,white,182.88,-1,straight,m,single
34,sometimes,white,167.64000000000001,1000000,bisexual,f,single
37,sometimes,other,165.1,-1,straight,f,single
25,sometimes,other,177.8,-1,straight,m,single
32,never,latin,180.34,-1,straight,m,single
42,NA,white,180.34,-1,straight,f,single
33,never,black,162.56,40000,straight,f,single
34,NA,white,160.02,-1,straight,f,single
42,sometimes,other,190.5,20000,straight,m,single
29,never,white,177.8,-1,straight,m,single
55,never,white,185.42000000000002,-1,straight,m,single
32,never,other,172.72,60000,straight,m,single
25,never,asian,175.26,-1,straight,m,single
31,never,white,162.56,-1,straight,f,single
45,never,white,172.72,80000,gay,m,single
39,never,latin,172.72,-1,straight,f,single
50,never,white,187.96,-1,straight,m,single
29,never,other,154.94,-1,straight,f,single
50,never,white,167.64000000000001,-1,straight,f,single
43,never,white,157.48,-1,straight,f,single
63,sometimes,white,170.18,-1,gay,f,single
35,never,asian,182.88,-1,straight,m,single
19,sometimes,white,170.18,-1,straight,f,single
62,never,white,162.56,-1,straight,f,single
44,never,other,172.72,-1,straight,f,single
30,NA,other,160.02,-1,straight,f,single
24,never,other,175.26,-1,straight,m,single
40,never,white,172.72,-1,straight,f,single
63,never,white,165.1,-1,straight,f,single
45,never,white,167.64000000000001,100000,straight,m,single
53,never,latin,157.48,-1,straight,f,single
36,NA,white,182.88,-1,straight,m,single
22,sometimes,white,177.8,40000,straight,m,single
19,never,white,175.26,-1,straight,m,single
32,never,other,162.56,-1,straight,f,single
61,never,white,160.02,70000,straight,f,single
20,never,other,152.4,-1,straight,f,single
34,never,white,165.1,150000,straight,f,single
34,never,white,170.18,-1,straight,f,single
36,NA,white,182.88,-1,straight,m,single
29,NA,white,180.34,-1,straight,m,single
30,never,white,185.42000000000002,-1,straight,m,single
40,never,white,172.72,-1,straight,m,single
28,NA,latin,157.48,-1,straight,f,single
20,sometimes,white,175.26,-1,straight,m,single
40,NA,other,180.34,-1,straight,m,single
43,never,white,167.64000000000001,-1,straight,f,single
19,never,white,182.88,-1,bisexual,m,single
60,never,white,172.72,-1,straight,m,single
66,never,white,185.42000000000002,-1,straight,m,single
39,NA,white,170.18,-1,straight,m,single
28,never,white,190.5,-1,straight,m,single
34,NA,other,187.96,-1,straight,m,single
32,never,white,187.96,20000,straight,m,single
34,never,white,172.72,40000,straight,f,single
29,never,other,162.56,-1,straight,f,single
26,never,white,190.5,-1,straight,m,single
43,NA,white,160.02,-1,straight,f,single
44,never,white,165.1,-1,straight,f,single
32,NA,other,182.88,30000,straight,m,single
37,sometimes,other,172.72,-1,gay,f,single
30,sometimes,white,175.26,-1,straight,f,single
26,never,white,185.42000000000002,-1,straight,m,single
23,never,other,177.8,-1,straight,m,single
31,never,other,175.26,-1,straight,m,single
34,never,white,185.42000000000002,70000,straight,m,single
48,never,asian,175.26,70000,straight,m,single
35,never,white,180.34,-1,straight,m,single
25,NA,other,185.42000000000002,-1,straight,m,single
27,never,white,160.02,-1,straight,f,single
27,never,other,170.18,-1,straight,m,single
22,never,white,162.56,-1,straight,f,single
35,never,asian,180.34,50000,straight,m,single
26,NA,other,182.88,-1,straight,m,single
32,NA,white,187.96,-1,gay,m,single
32,never,white,182.88,40000,straight,m,single
23,NA,white,180.34,-1,straight,m,single
40,NA,white,162.56,-1,gay,f,single
47,never,white,167.64000000000001,-1,straight,f,single
31,never,latin,187.96,40000,straight,m,single
30,never,white,172.72,-1,straight,m,single
25,never,white,177.8,-1,straight,f,single
33,never,white,172.72,-1,straight,m,single
54,never,white,193.04,-1,straight,m,single
30,never,white,182.88,-1,straight,m,single
45,NA,white,177.8,100000,straight,m,single
30,never,white,170.18,-1,straight,m,single
49,never,other,162.56,-1,gay,m,single
32,never,other,172.72,-1,straight,m,single
24,never,white,167.64000000000001,-1,straight,f,single
57,sometimes,white,175.26,-1,straight,m,single
41,never,white,182.88,-1,straight,m,single
37,sometimes,white,154.94,-1,straight,f,single
35,NA,white,187.96,-1,straight,m,single
40,never,black,162.56,-1,straight,f,single
50,NA,white,167.64000000000001,-1,straight,f,single
40,NA,white,185.42000000000002,-1,straight,m,single
37,never,white,193.04,20000,straight,m,single
60,never,white,180.34,-1,straight,m,single
47,never,other,175.26,-1,straight,m,single
29,NA,white,180.34,-1,straight,m,single
29,NA,other,180.34,30000,straight,m,single
22,sometimes,white,231.14000000000001,150000,straight,f,single
44,never,latin,187.96,-1,gay,m,coupled
57,never,white,157.48,-1,straight,f,single
43,never,white,170.18,-1,straight,f,single
20,never,black,157.48,-1,straight,f,single
29,never,white,180.34,-1,gay,m,single
30,sometimes,other,177.8,60000,straight,m,single
25,never,white,182.88,150000,straight,m,single
39,never,white,182.88,-1,straight,m,single
41,never,other,162.56,-1,straight,f,single
30,NA,other,182.88,50000,straight,m,single
23,never,white,172.72,-1,straight,m,single
49,never,white,172.72,-1,straight,f,single
59,never,other,180.34,-1,straight,m,single
39,never,other,167.64000000000001,-1,straight,m,single
38,never,asian,170.18,-1,straight,m,single
59,never,white,172.72,-1,straight,f,single
26,never,white,154.94,-1,straight,f,single
33,never,white,185.42000000000002,-1,straight,f,single
46,NA,other,180.34,-1,straight,m,single
36,never,other,180.34,-1,straight,m,single
40,NA,white,162.56,-1,bisexual,f,single
29,NA,asian,182.88,-1,straight,m,single
30,never,white,170.18,-1,gay,f,single
30,never,other,165.1,-1,straight,f,single
33,sometimes,white,187.96,-1,straight,m,coupled
29,never,other,172.72,-1,straight,m,single
23,NA,white,154.94,-1,straight,f,single
33,sometimes,other,180.34,-1,straight,m,single
28,never,other,170.18,-1,straight,m,single
31,often,other,165.1,20000,bisexual,m,single
29,sometimes,other,200.66,-1,bisexual,m,single
44,never,other,154.94,-1,straight,f,single
28,never,latin,167.64000000000001,-1,straight,f,single
47,never,white,193.04,60000,straight,m,single
24,never,asian,175.26,-1,straight,m,single
28,NA,white,177.8,-1,straight,m,single
40,never,black,165.1,-1,straight,f,single
24,NA,black,182.88,-1,straight,m,single
20,NA,other,180.34,-1,straight,m,coupled
39,never,other,180.34,-1,straight,m,single
52,never,white,157.48,70000,straight,f,single
39,never,white,177.8,-1,straight,m,single
33,NA,white,182.88,-1,straight,m,single
26,NA,other,177.8,-1,straight,f,single
31,NA,white,175.26,-1,straight,m,single
27,never,other,180.34,-1,straight,m,single
60,NA,white,177.8,-1,straight,m,single
52,never,white,165.1,-1,straight,f,single
42,never,latin,162.56,-1,straight,f,single
31,never,white,172.72,-1,straight,f,single
38,never,white,172.72,-1,straight,m,single
26,never,asian,170.18,-1,straight,m,single
32,never,asian,162.56,-1,straight,f,single
40,never,other,182.88,-1,straight,m,single
32,never,other,154.94,-1,straight,f,single
31,never,other,162.56,30000,straight,f,single
32,never,white,182.88,-1,straight,m,single
22,never,other,162.56,-1,straight,f,single
37,NA,white,177.8,-1,straight,m,single
33,never,asian,160.02,-1,straight,f,single
44,never,white,182.88,100000,straight,m,single
18,never,latin,167.64000000000001,-1,straight,m,single
38,sometimes,latin,165.1,-1,gay,m,single
23,sometimes,other,162.56,-1,straight,f,single
33,never,white,165.1,-1,straight,f,single
24,NA,white,162.56,-1,straight,f,coupled
32,never,white,162.56,-1,straight,f,single
27,never,other,160.02,-1,straight,f,single
39,never,other,160.02,-1,straight,f,single
47,never,white,167.64000000000001,100000,straight,f,single
33,sometimes,asian,177.8,100000,straight,m,single
38,never,latin,177.8,-1,gay,m,single
42,never,asian,170.18,-1,straight,f,single
42,NA,white,177.8,-1,straight,m,single
21,never,white,172.72,-1,straight,f,single
35,NA,other,185.42000000000002,100000,straight,m,single
38,never,white,162.56,-1,straight,f,single
34,sometimes,other,162.56,-1,straight,f,single
27,NA,white,180.34,-1,straight,m,single
29,never,white,180.34,-1,straight,m,single
27,NA,other,157.48,-1,bisexual,f,single
23,NA,other,170.18,-1,bisexual,m,single
33,sometimes,other,170.18,-1,straight,m,single
25,never,asian,177.8,250000,straight,m,single
31,never,other,167.64000000000001,-1,straight,f,single
24,never,white,182.88,20000,straight,f,single
49,NA,white,177.8,-1,straight,m,single
23,often,white,182.88,20000,straight,m,single
23,never,white,167.64000000000001,20000,gay,f,single
22,NA,other,160.02,-1,gay,f,single
48,never,white,177.8,-1,straight,m,single
27,never,white,180.34,-1,straight,m,single
30,never,other,172.72,-1,gay,m,coupled
59,never,asian,162.56,60000,straight,m,single
27,never,asian,177.8,30000,straight,m,single
24,never,white,172.72,-1,straight,m,single
32,never,other,175.26,-1,straight,f,single
24,never,white,187.96,-1,straight,m,single
32,never,other,182.88,-1,straight,m,single
30,never,white,190.5,100000,straight,m,single
40,never,white,165.1,-1,straight,f,single
18,never,white,185.42000000000002,20000,straight,m,single
29,NA,other,175.26,-1,straight,m,single
32,never,white,157.48,-1,straight,f,single
27,never,white,162.56,-1,straight,f,single
56,never,white,172.72,-1,straight,f,single
35,never,black,177.8,-1,straight,m,single
20,sometimes,other,170.18,20000,straight,m,single
30,NA,other,182.88,-1,gay,m,single
43,often,white,175.26,-1,straight,m,single
27,never,asian,172.72,60000,straight,m,single
30,never,asian,180.34,-1,straight,m,single
58,never,white,182.88,-1,straight,m,single
31,NA,other,172.72,-1,straight,m,single
34,NA,asian,182.88,-1,straight,m,single
41,never,white,190.5,-1,straight,m,single
27,never,white,170.18,-1,straight,f,single
37,never,asian,172.72,-1,straight,m,single
35,NA,white,170.18,-1,straight,f,single
26,NA,white,185.42000000000002,-1,straight,m,single
28,never,white,182.88,-1,straight,m,single
32,NA,latin,193.04,60000,straight,m,single
38,NA,white,172.72,-1,straight,f,single
42,never,latin,182.88,-1,straight,m,single
25,never,other,170.18,-1,straight,m,single
34,NA,white,167.64000000000001,-1,straight,f,single
46,NA,white,180.34,-1,straight,m,single
31,NA,white,175.26,50000,straight,m,single
26,never,other,162.56,20000,straight,f,single
37,sometimes,black,190.5,50000,straight,m,single
28,NA,asian,175.26,-1,straight,f,single
21,never,latin,170.18,-1,straight,m,single
50,never,white,177.8,-1,straight,m,single
24,never,other,180.34,-1,straight,f,single
24,sometimes,other,187.96,-1,gay,m,single
32,never,white,175.26,-1,straight,m,single
50,NA,white,172.72,100000,straight,m,single
33,never,other,152.4,-1,straight,f,single
38,NA,other,172.72,-1,straight,m,single
49,sometimes,other,177.8,-1,straight,m,single
35,NA,white,177.8,-1,straight,m,single
20,NA,latin,152.4,-1,straight,f,single
22,NA,white,170.18,-1,straight,m,single
32,sometimes,other,210.82,70000,straight,m,single
25,often,other,177.8,-1,straight,m,single
26,often,other,149.86,-1,straight,f,single
23,sometimes,asian,180.34,20000,straight,m,single
43,NA,white,195.58,-1,straight,m,single
28,never,white,175.26,100000,straight,m,single
44,sometimes,other,193.04,-1,bisexual,m,single
22,NA,white,180.34,-1,gay,m,single
31,NA,white,172.72,-1,straight,f,single
65,never,white,177.8,-1,gay,m,single
36,NA,white,177.8,-1,straight,f,single
35,NA,white,157.48,-1,straight,f,single
40,never,other,177.8,-1,straight,f,single
30,never,other,167.64000000000001,-1,straight,f,single
26,sometimes,white,182.88,-1,straight,m,single
23,NA,other,185.42000000000002,-1,gay,m,single
27,sometimes,other,172.72,-1,straight,m,single
36,sometimes,white,182.88,-1,straight,m,single
41,never,white,167.64000000000001,-1,bisexual,f,single
45,never,latin,177.8,-1,straight,m,single
48,never,latin,172.72,-1,straight,m,single
26,never,white,193.04,-1,straight,m,single
23,never,white,170.18,30000,straight,m,single
28,never,other,172.72,-1,gay,f,single
29,never,white,187.96,-1,straight,m,single
42,never,white,170.18,-1,straight,f,single
33,never,white,152.4,-1,straight,f,single
52,never,latin,177.8,70000,straight,m,single
25,never,latin,160.02,30000,straight,m,single
61,never,white,172.72,-1,straight,m,single
28,never,white,180.34,-1,straight,m,single
35,sometimes,white,185.42000000000002,30000,straight,m,single
34,never,other,182.88,-1,straight,m,single
59,never,white,172.72,70000,straight,f,single
31,NA,black,195.58,-1,straight,m,single
19,NA,white,185.42000000000002,20000,straight,m,single
29,never,white,172.72,-1,straight,f,single
55,NA,white,167.64000000000001,-1,straight,f,single
45,never,asian,165.1,-1,straight,m,single
49,never,white,175.26,-1,straight,f,single
21,NA,white,180.34,-1,straight,m,single
27,never,other,154.94,-1,straight,f,single
24,NA,other,172.72,-1,straight,f,single
25,never,other,160.02,-1,straight,f,single
44,sometimes,white,160.02,-1,straight,f,coupled
52,never,other,182.88,-1,straight,m,single
30,sometimes,white,167.64000000000001,40000,straight,f,single
58,never,white,162.56,-1,straight,f,single
33,NA,white,160.02,-1,straight,f,single
44,never,white,172.72,-1,straight,f,single
31,never,white,175.26,-1,straight,f,single
38,sometimes,other,170.18,80000,straight,f,single
47,never,other,160.02,-1,straight,f,single
29,NA,other,187.96,-1,straight,m,single
28,sometimes,white,172.72,-1,bisexual,m,single
40,NA,white,170.18,-1,gay,f,single
64,never,white,170.18,-1,straight,f,single
52,never,black,160.02,-1,straight,f,single
37,never,other,162.56,-1,straight,m,single
33,NA,white,170.18,-1,straight,f,single
58,never,white,182.88,-1,straight,m,coupled
43,NA,white,182.88,150000,straight,m,single
27,never,other,165.1,-1,straight,m,single
57,never,white,172.72,-1,straight,f,single
64,never,white,175.26,60000,straight,f,single
41,never,white,175.26,-1,straight,m,single
35,sometimes,other,187.96,100000,straight,m,single
26,never,white,185.42000000000002,-1,straight,m,single
52,never,white,182.88,-1,gay,m,single
45,never,white,160.02,-1,straight,f,single
24,never,white,172.72,-1,straight,f,single
26,never,white,172.72,-1,straight,m,single
25,never,white,190.5,-1,straight,m,single
35,never,white,185.42000000000002,-1,straight,m,single
25,never,other,172.72,-1,straight,f,single
33,never,white,170.18,-1,straight,m,single
41,sometimes,white,185.42000000000002,100000,straight,m,single
26,never,white,162.56,50000,straight,f,single
27,sometimes,other,180.34,-1,straight,m,single
25,never,white,162.56,-1,straight,f,single
39,sometimes,white,160.02,-1,straight,f,single
35,never,white,180.34,-1,straight,m,single
30,NA,white,162.56,-1,straight,f,single
21,sometimes,other,187.96,-1,straight,m,single
48,never,white,175.26,-1,straight,f,single
25,never,white,185.42000000000002,-1,straight,m,coupled
27,sometimes,white,180.34,-1,bisexual,m,single
20,never,latin,185.42000000000002,-1,straight,m,single
31,never,other,187.96,20000,straight,m,single
37,never,white,172.72,-1,straight,f,single
55,never,white,162.56,-1,straight,f,single
37,never,white,165.1,-1,straight,f,single
24,never,white,187.96,-1,straight,m,single
32,never,white,162.56,-1,straight,f,single
18,never,other,177.8,-1,straight,m,single
19,never,latin,190.5,-1,straight,m,single
22,never,white,154.94,-1,straight,f,single
23,NA,other,177.8,-1,straight,m,single
36,never,other,177.8,-1,straight,f,single
19,never,latin,160.02,-1,straight,f,single
30,never,latin,180.34,-1,straight,m,single
43,never,white,157.48,-1,straight,f,single
19,never,latin,177.8,-1,straight,m,single
36,NA,other,175.26,-1,straight,m,single
32,never,other,172.72,-1,straight,m,single
32,NA,white,180.34,-1,straight,m,single
